White County|Arkansas|78592
Woodruff County|Arkansas|6910
Yell County|Arkansas|21951
Alameda County|California|1610921
Alpine County|California|1116
Amador County|California|36742
Butte County|California|224241
Calaveras County|California|44624
Colusa County|California|21419
Contra Costa County|California|1111339
Del Norte County|California|27212
El Dorado County|California|183087
Fresno County|California|965974
Glenn County|California|27955
Humboldt County|California|134809
Imperial County|California|179091
Inyo County|California|18410
Kern County|California|874589
Kings County|California|150269
Lake County|California|64184
Lassen County|California|31749
Los Angeles County|California|10116705
Madera County|California|154548
Marin County|California|260750
Mariposa County|California|17682
Mendocino County|California|87869
Merced County|California|266353
Modoc County|California|9023
Mono County|California|13997
Monterey County|California|431344
Napa County|California|141667
Nevada County|California|98893
Orange County|California|3145515
Placer County|California|371694
Plumas County|California|18606
Riverside County|California|2329271
Sacramento County|California|1482026
San Benito County|California|58267
San Bernardino County|California|2112619
San Diego County|California|3263431
San Francisco County|California|852469
San Joaquin County|California|715597
San Luis Obispo County|California|279083
San Mateo County|California|758581
Santa Barbara County|California|440668
Santa Clara County|California|1894605
Santa Cruz County|California|271804
Shasta County|California|179804
Sierra County|California|3003
Siskiyou County|California|43628
Solano County|California|431131
Sonoma County|California|500292
Stanislaus County|California|531997
Sutter County|California|95847
Tehama County|California|63067
Trinity County|California|13170
Tulare County|California|458198
Tuolumne County|California|53831
Ventura County|California|846178
Yolo County|California|207590
Yuba County|California|73966
Adams County|Colorado|480718
Alamosa County|Colorado|16177
Arapahoe County|Colorado|618821
Archuleta County|Colorado|12244
Baca County|Colorado|3645
Bent County|Colorado|5630
Boulder County|Colorado|313333
Broomfield County|Colorado|62138
Chaffee County|Colorado|18363
Cheyenne County|Colorado|1871
Clear Creek County|Colorado|9187
Conejos County|Colorado|8265
Costilla County|Colorado|3568
Crowley County|Colorado|5360
Custer County|Colorado|4361
Delta County|Colorado|29870
Denver County|Colorado|663862
Dolores County|Colorado|1978
Douglas County|Colorado|314638
Eagle County|Colorado|52921
Elbert County|Colorado|24195
El Paso County|Colorado|663519
Fremont County|Colorado|46502
Garfield County|Colorado|57461
Gilpin County|Colorado|5851
Grand County|Colorado|14546
Gunnison County|Colorado|15725
Hinsdale County|Colorado|786
Huerfano County|Colorado|6462
Jackson County|Colorado|1396
Jefferson County|Colorado|558503
Kiowa County|Colorado|1402
Kit Carson County|Colorado|8072
Lake County|Colorado|7357
La Plata County|Colorado|53989
Larimer County|Colorado|324122
Las Animas County|Colorado|14052
Lincoln County|Colorado|5510
Logan County|Colorado|22524
Mesa County|Colorado|148255
Mineral County|Colorado|698
Moffat County|Colorado|12928
Montezuma County|Colorado|25772
Montrose County|Colorado|40873
Morgan County|Colorado|28328
Otero County|Colorado|18488
Ouray County|Colorado|4629
Park County|Colorado|16345
Phillips County|Colorado|4363
Pitkin County|Colorado|17626
Prowers County|Colorado|12034
Pueblo County|Colorado|161875
Rio Blanco County|Colorado|6707
Rio Grande County|Colorado|11607
Routt County|Colorado|23865
Saguache County|Colorado|6196
San Juan County|Colorado|720
San Miguel County|Colorado|7840
Sedgwick County|Colorado|2348
Summit County|Colorado|29404
Teller County|Colorado|23389
Washington County|Colorado|4780
Weld County|Colorado|277670
Yuma County|Colorado|10202
Fairfield County|Connecticut|945438
Hartford County|Connecticut|897985
Litchfield County|Connecticut|184993
Middlesex County|Connecticut|164943
New Haven County|Connecticut|861277
New London County|Connecticut|273676
Tolland County|Connecticut|151367
Windham County|Connecticut|116998
Kent County|Delaware|171987
New Castle County|Delaware|552778
Sussex County|Delaware|210849
District of Columbia|District of Columbia|658893
Alachua County|Florida|256380
Baker County|Florida|27093
Bay County|Florida|178985
Bradford County|Florida|26702
Brevard County|Florida|556885
Broward County|Florida|1869235
Calhoun County|Florida|14532
Charlotte County|Florida|168474
Citrus County|Florida|139377
Clay County|Florida|199798
Collier County|Florida|348777
Columbia County|Florida|67857
DeSoto County|Florida|35012
Dixie County|Florida|15907
Duval County|Florida|897698
Escambia County|Florida|310659
Flagler County|Florida|102408
Franklin County|Florida|11815
Gadsden County|Florida|46281
Gilchrist County|Florida|16997
Glades County|Florida|13635
Gulf County|Florida|15944
Hamilton County|Florida|14048
Hardee County|Florida|27469
Hendry County|Florida|38505
Hernando County|Florida|175855
Highlands County|Florida|98236
Hillsborough County|Florida|1316298
Holmes County|Florida|19650
Indian River County|Florida|144755
Jackson County|Florida|48801
Jefferson County|Florida|14050
Lafayette County|Florida|8835
Lake County|Florida|315690
Lee County|Florida|679513
Leon County|Florida|283988
Levy County|Florida|39613
Liberty County|Florida|8360
Madison County|Florida|18518
Manatee County|Florida|351746
Marion County|Florida|339167
Martin County|Florida|153392
Miami-Dade County|Florida|2662874
Monroe County|Florida|77136
Nassau County|Florida|76619
Okaloosa County|Florida|196512
Okeechobee County|Florida|39149
Orange County|Florida|1253001
Osceola County|Florida|310211
Palm Beach County|Florida|1397710
Pasco County|Florida|485331
Pinellas County|Florida|938098
Polk County|Florida|634638
Putnam County|Florida|72143
St. Johns County|Florida|217919
