SIMS,254,107244
BURTON,255,107158
FULLER,256,106682
SOTO,257,106631
MCCOY,258,106481
WELCH,259,105804
CHEN,260,105544
SCHULTZ,261,104962
WALTERS,262,104281
REID,263,104007
FIELDS,264,103242
WALSH,265,103216
LITTLE,266,102718
FOWLER,267,102620
BOWMAN,268,102239
DAVIDSON,269,102044
MAY,270,101726
DAY,271,101676
SCHNEIDER,272,100553
NEWMAN,273,100491
BREWER,274,100465
LUCAS,275,100417
HOLLAND,276,99885
WONG,277,99392
BANKS,278,99294
SANTOS,279,98993
CURTIS,280,98958
PEARSON,281,98728
DELGADO,282,98675
VALDEZ,283,98610
PENA,284,98345
RIOS,285,96569
DOUGLAS,286,96425
SANDOVAL,287,96303
BARRETT,288,95896
HOPKINS,289,94603
KELLER,290,94300
GUERRERO,291,94152
STANLEY,292,93817
BATES,293,93743
ALVARADO,294,93723
BECK,295,93161
ORTEGA,296,93131
WADE,297,92834
ESTRADA,298,92831
CONTRERAS,299,92660
BARNETT,300,92287
CALDWELL,301,91338
SANTIAGO,302,90967
LAMBERT,303,90618
POWERS,304,90401
CHAMBERS,305,90325
NUNEZ,306,90208
CRAIG,307,89591
LEONARD,308,89198
LOWE,309,89178
RHODES,310,88917
BYRD,311,88811
GREGORY,312,88810
SHELTON,313,88326
FRAZIER,314,88325
BECKER,315,88114
MALDONADO,316,88016
FLEMING,317,87949
VEGA,318,87728
SUTTON,319,87373
COHEN,320,87226
JENNINGS,321,87038
PARKS,322,86346
MCDANIEL,323,86317
WATTS,324,86228
BARKER,325,85221
NORRIS,326,85212
VAUGHN,327,85037
VAZQUEZ,328,84926
HOLT,329,84710
SCHWARTZ,330,84699
STEELE,331,84353
BENSON,332,84233
NEAL,333,83849
DOMINGUEZ,334,83731
HORTON,335,83523
TERRY,336,83437
WOLFE,337,83112
HALE,338,82955
LYONS,339,82258
GRAVES,340,82179
HAYNES,341,82037
MILES,342,81933
PARK,343,81890
WARNER,344,81824
PADILLA,345,81805
BUSH,346,81524
THORNTON,347,81191
MCCARTHY,348,81035
MANN,349,81022
ZIMMERMAN,350,80944
ERICKSON,351,80936
FLETCHER,352,80932
MCKINNEY,353,80616
PAGE,354,80493
DAWSON,355,80190
JOSEPH,356,80030
MARQUEZ,357,79951
REEVES,358,79817
KLEIN,359,79685
ESPINOZA,360,79322
BALDWIN,361,79151
MORAN,362,78546
LOVE,363,78323
ROBBINS,364,78141
HIGGINS,365,78107
BALL,366,77561
CORTEZ,367,77492
LE,368,77453
GRIFFITH,369,77429
BOWEN,370,77078
SHARP,371,76868
CUMMINGS,372,76707
RAMSEY,373,76625
HARDY,374,76608
SWANSON,375,76539
BARBER,376,76504
ACOSTA,377,76477
LUNA,378,76127
CHANDLER,379,76114
BLAIR,380,75135
DANIEL,380,75135
CROSS,382,75134
SIMON,383,74839
DENNIS,384,74784
OCONNOR,385,74756
QUINN,386,74531
GROSS,387,74285
NAVARRO,388,73970
MOSS,389,73750
FITZGERALD,390,73522
DOYLE,391,73518
MCLAUGHLIN,392,73128
ROJAS,393,73071
RODGERS,394,73021
STEVENSON,395,72892
SINGH,396,72642
YANG,397,72627
FIGUEROA,398,72533
HARMON,399,72414
NEWTON,400,72328
PAUL,401,72248
MANNING,402,72069
GARNER,403,72052
MCGEE,404,71925
REESE,405,71754
FRANCIS,406,71723
BURGESS,407,71604
ADKINS,408,71528
GOODMAN,409,71482
CURRY,410,71344
BRADY,411,71175
CHRISTENSEN,412,71144
POTTER,413,71103
WALTON,414,70997
GOODWIN,415,70333
MULLINS,416,70286
MOLINA,417,70211
WEBSTER,418,70123
FISCHER,419,70095
CAMPOS,420,69950
AVILA,421,69843
SHERMAN,422,69840
TODD,423,69810
CHANG,424,69756
BLAKE,425,69279
MALONE,426,69257
WOLF,427,68905
HODGES,428,68868
JUAREZ,429,68785
GILL,430,68699
FARMER,431,68309
HINES,432,68145
GALLAGHER,433,68075
DURAN,434,68046
HUBBARD,435,68021
CANNON,436,67923
MIRANDA,437,67646
WANG,438,67570
SAUNDERS,439,67210
TATE,440,67208
MACK,441,67154
HAMMOND,442,67063
CARRILLO,443,67054
TOWNSEND,444,66853
WISE,445,66738
INGRAM,446,66665
BARTON,447,66622
MEJIA,448,66534
AYALA,449,66515
SCHROEDER,450,66412
HAMPTON,451,66378
ROWE,452,66205
PARSONS,453,66203
FRANK,454,65918
WATERS,455,65817
STRICKLAND,456,65814
OSBORNE,457,65802
MAXWELL,458,65779
CHAN,459,65719
DELEON,460,65598
NORMAN,461,65269
HARRINGTON,462,65131
CASEY,463,64815
PATTON,464,64772
LOGAN,465,64576
BOWERS,466,64496
MUELLER,467,64305
GLOVER,468,64180
FLOYD,469,64141
HARTMAN,470,63827
BUCHANAN,471,63825
COBB,472,63739
FRENCH,473,63149
KRAMER,474,63023
MCCORMICK,475,62663
CLARKE,476,62546
TYLER,477,62534
GIBBS,478,62514
MOODY,479,62344
CONNER,480,62335
SPARKS,481,62234
MCGUIRE,482,62116
LEON,483,62034
BAUER,484,61979
NORTON,485,61805
POPE,486,61750
FLYNN,487,61747
HOGAN,488,61651
ROBLES,489,61619
SALINAS,490,61582
YATES,491,61400
LINDSEY,492,61199
LLOYD,493,61154
MARSH,494,60999
MCBRIDE,495,60874
OWEN,496,60461
SOLIS,497,60045
PHAM,498,59949
LANG,499,59843
PRATT,500,59801
LARA,501,59731
BROCK,502,59682
BALLARD,503,59660
TRUJILLO,504,59609
SHAFFER,505,59227
DRAKE,506,59055
ROMAN,507,59020
AGUIRRE,508,58918
MORTON,509,58788
STOKES,510,58687
LAMB,511,58555
PACHECO,512,58534
PATRICK,513,58257
COCHRAN,514,58233
SHEPHERD,515,57935
CAIN,516,57873
BURNETT,517,57859
HESS,518,57822
LI,519,57786
CERVANTES,520,57685
OLSEN,521,57357
BRIGGS,522,57297
OCHOA,523,57210
CABRERA,524,57171
VELASQUEZ,525,57163
MONTOYA,526,57075
ROTH,527,57030
MEYERS,528,56744
CARDENAS,529,56618
FUENTES,530,56441
WEISS,531,56153
HOOVER,532,56068
WILKINS,532,56068
NICHOLSON,534,55986
UNDERWOOD,535,55973
SHORT,536,55903
CARSON,537,55821
MORROW,538,55664
COLON,539,55512
HOLLOWAY,540,55466
SUMMERS,541,55391
BRYAN,542,55269
PETERSEN,543,55185
MCKENZIE,544,55084
SERRANO,545,55057
WILCOX,546,54987
CAREY,547,54924
CLAYTON,548,54875
POOLE,549,54706
CALDERON,550,54691
GALLEGOS,551,54672
GREER,552,54611
RIVAS,553,54588
GUERRA,554,54575
DECKER,555,54450
COLLIER,556,54414
WALL,557,54401
WHITAKER,558,54343
BASS,559,54296
FLOWERS,560,54277
DAVENPORT,561,54206
CONLEY,562,54194
HOUSTON,563,54026
HUFF,564,53892
COPELAND,565,53771
HOOD,566,53737
MONROE,567,53475
MASSEY,568,53459
ROBERSON,569,53198
COMBS,570,53180
FRANCO,571,53161
LARSEN,572,52963
PITTMAN,573,52689
RANDALL,574,52495
SKINNER,575,52490
WILKINSON,576,52483
KIRBY,577,52473
CAMERON,578,52439
BRIDGES,579,52260
ANTHONY,580,52146
RICHARD,581,52138
KIRK,582,52056
BRUCE,583,52004
