"Lonoke County, Arkansas","71,557"
"Madison County, Arkansas","15,740"
"Marion County, Arkansas","16,367"
"Miller County, Arkansas","43,428"
"Mississippi County, Arkansas","44,235"
"Monroe County, Arkansas","7,582"
"Montgomery County, Arkansas","9,082"
"Nevada County, Arkansas","8,723"
"Newton County, Arkansas","7,904"
"Ouachita County, Arkansas","24,828"
"Perry County, Arkansas","10,245"
"Phillips County, Arkansas","19,930"
"Pike County, Arkansas","11,024"
"Poinsett County, Arkansas","24,246"
"Polk County, Arkansas","20,225"
"Pope County, Arkansas","63,201"
"Prairie County, Arkansas","8,304"
"Pulaski County, Arkansas","392,702"
"Randolph County, Arkansas","17,571"
"St. Francis County, Arkansas","26,899"
"Saline County, Arkansas","115,719"
"Scott County, Arkansas","10,693"
"Searcy County, Arkansas","7,929"
"Sebastian County, Arkansas","126,776"
"Sevier County, Arkansas","17,426"
"Sharp County, Arkansas","16,906"
"Stone County, Arkansas","12,494"
"Union County, Arkansas","40,227"
"Van Buren County, Arkansas","16,851"
"Washington County, Arkansas","220,792"
"White County, Arkansas","78,592"
"Woodruff County, Arkansas","6,910"
"Yell County, Arkansas","21,951"
"Alameda County, California","1,610,921"
"Alpine County, California","1,116"
"Amador County, California","36,742"
"Butte County, California","224,241"
"Calaveras County, California","44,624"
"Colusa County, California","21,419"
"Contra Costa County, California","1,111,339"
"Del Norte County, California","27,212"
"El Dorado County, California","183,087"
"Fresno County, California","965,974"
"Glenn County, California","27,955"
"Humboldt County, California","134,809"
"Imperial County, California","179,091"
"Inyo County, California","18,410"
"Kern County, California","874,589"
"Kings County, California","150,269"
"Lake County, California","64,184"
"Lassen County, California","31,749"
"Los Angeles County, California","10,116,705"
"Madera County, California","154,548"
"Marin County, California","260,750"
"Mariposa County, California","17,682"
"Mendocino County, California","87,869"
"Merced County, California","266,353"
"Modoc County, California","9,023"
"Mono County, California","13,997"
"Monterey County, California","431,344"
"Napa County, California","141,667"
"Nevada County, California","98,893"
"Orange County, California","3,145,515"
"Placer County, California","371,694"
"Plumas County, California","18,606"
"Riverside County, California","2,329,271"
"Sacramento County, California","1,482,026"
"San Benito County, California","58,267"
"San Bernardino County, California","2,112,619"
"San Diego County, California","3,263,431"
"San Francisco County, California","852,469"
"San Joaquin County, California","715,597"
"San Luis Obispo County, California","279,083"
"San Mateo County, California","758,581"
"Santa Barbara County, California","440,668"
"Santa Clara County, California","1,894,605"
"Santa Cruz County, California","271,804"
"Shasta County, California","179,804"
"Sierra County, California","3,003"
"Siskiyou County, California","43,628"
"Solano County, California","431,131"
"Sonoma County, California","500,292"
"Stanislaus County, California","531,997"
"Sutter County, California","95,847"
"Tehama County, California","63,067"
"Trinity County, California","13,170"
"Tulare County, California","458,198"
"Tuolumne County, California","53,831"
"Ventura County, California","846,178"
"Yolo County, California","207,590"
"Yuba County, California","73,966"
